URN,RELDENOM,EGENDER,KS2APS,TTAPSCP_PTQ_EE
100745,Does not apply,BOYS,27.8,309.4
135073,Does not apply,MIXED,28.3,332.6
135070,Does not apply,MIXED,27.7,320.7
141018,None,MIXED,NP,SUPP
135901,None,BOYS,NP,180.4
100747,Does not apply,MIXED,26.9,290.3
100750,None,GIRLS,28.8,363
135843,None,MIXED,,
100754,Church of England,MIXED,NP,375.5
135264,Roman Catholic,MIXED,26.1,291
100743,Does not apply,MIXED,27,298
100757,None,GIRLS,NP,369.8
100741,Does not apply,GIRLS,27.6,332.2
100749,Church of England,MIXED,25.8,302.1
100760,Does not apply,MIXED,17,41.5
136423,Does not apply,MIXED,10.9,NE
100765,Does not apply,MIXED,3,NE
,,,27,304
100864,None,MIXED,NP,274.3
139718,Church of England,MIXED,,
135584,Does not apply,MIXED,26,287.5
135315,Does not apply,MIXED,26.4,304.6
135401,Does not apply,MIXED,27.4,318.9
136298,None,MIXED,28.9,363.3
134222,Does not apply,MIXED,28,342.7
139587,None,MIXED,,
100861,None,MIXED,NP,226.6
131747,Does not apply,GIRLS,26.6,307.8
134225,Does not apply,MIXED,25,296.7
135816,Does not apply,BOYS,26.7,331.2
132711,Does not apply,GIRLS,26.8,362.1
100863,None,GIRLS,NP,298.5
136309,None,MIXED,29.6,372.4
100859,Roman Catholic,GIRLS,26.8,332
138960,Roman Catholic,MIXED,26.9,347.7
138961,Roman Catholic,MIXED,28.5,357.9
100849,Church of England,GIRLS,28.9,348.8
100857,Roman Catholic,BOYS,26.1,340.5
140221,None,MIXED,,
131237,None,MIXED,NP,56.6
100872,Does not apply,MIXED,9.5,11.3
140138,Does not apply,BOYS,20.5,85.7
100873,Does not apply,MIXED,14.1,14.7
141031,None,MIXED,NP,SUPP
100880,Does not apply,MIXED,SUPP,NE
,,,27.3,329.7
137789,Does not apply,MIXED,27,336.4
133289,Roman Catholic,BOYS,28.1,319.6
100978,Roman Catholic,GIRLS,28.3,323.8
100965,Does not apply,MIXED,26.4,324.7
100975,None,GIRLS,27.4,356.1
139601,None,MIXED,NP,88.9
131745,None,MIXED,NP,341.1
136129,Unknown,BOYS,NP,278
100974,None,MIXED,27.1,315
131388,None,BOYS,NP,388.5
100966,Does not apply,MIXED,26.8,298
134810,None,BOYS,NP,386
141133,None,MIXED,,
132797,None,BOYS,NP,369.1
100982,None,GIRLS,NP,331.1
133307,None,BOYS,NP,327.6
100967,Does not apply,MIXED,27.4,329.4
100968,Does not apply,GIRLS,27.5,352.5
100972,Does not apply,MIXED,27.1,344.1
100979,Church of England,MIXED,28.2,297.3
100970,None,MIXED,25.7,324
100977,Church of England,MIXED,28,345.9
100969,Does not apply,BOYS,27.8,320.3
100973,Does not apply,MIXED,27.1,340
138202,None,MIXED,,
100989,Does not apply,MIXED,3,NE
100986,Does not apply,BOYS,SUPP,59
131598,Does not apply,MIXED,SUPP,SUPP
100987,Does not apply,MIXED,6.3,NE
,,,27.2,326.2
101090,None,MIXED,NP,360.8
138681,None,MIXED,26.3,324.1
135316,Does not apply,MIXED,28.3,335.1
138267,None,MIXED,,
139842,None,GIRLS,27.7,341.7
136883,None,MIXED,28.3,345.7
101071,Christian,MIXED,NP,313.8
101053,Does not apply,BOYS,27.2,298.4
137005,None,MIXED,30,364.5
101086,None,MIXED,NP,381.9
140985,Does not apply,MIXED,25.8,347.4
101064,None,MIXED,NP,217.9
101072,None,GIRLS,NP,439
132173,Church of England,MIXED,28.5,335.8
135762,Roman Catholic,MIXED,26.1,309.4
138682,None,MIXED,26.4,284.4
132237,Christian,MIXED,NP,311.4
101095,Does not apply,MIXED,3.5,NE
101175,None,MIXED,NP,82
101103,Does not apply,MIXED,13.9,24.5
101093,Does not apply,MIXED,5.7,NE
131594,Does not apply,BOYS,20.1,61.2
101094,Does not apply,MIXED,15.3,30.1
101102,Does not apply,MIXED,3.9,NE
136110,None,MIXED,NP,85.1
,,,27.1,315.4
135242,Does not apply,MIXED,27.1,382.4
101181,None,MIXED,NP,231.3
101161,Church of England,GIRLS,NP,135.2
101158,Church of England,GIRLS,NP,430
138313,Church of England,GIRLS,30.1,384.9
100536,None,MIXED,NP,252.1
140884,None,BOYS,,
130912,Christian,MIXED,26,335
135676,Does not apply,MIXED,26.7,331.1
100541,None,MIXED,NP,325.5
101157,None,GIRLS,NP,359.1
137646,None,MIXED,27.3,301.9
101154,Church of England,MIXED,26.6,333.7
139369,Roman Catholic,MIXED,27.3,328.3
137353,Church of England,GIRLS,29.7,381.6
101172,None,MIXED,NP,362.7
131262,None,MIXED,25.8,342.6
138312,Christian,BOYS,28.4,335.8
101162,Church of England,MIXED,NP,346.7
101182,Does not apply,MIXED,8.5,NE
101184,Does not apply,MIXED,SUPP,SUPP
,,,27.4,341.1
101247,Roman Catholic,MIXED,27.2,334.4
101241,Does not apply,MIXED,28.2,329.3
136028,Church of England,MIXED,26.2,308.9
101243,Does not apply,MIXED,25,282.2
101244,Does not apply,MIXED,26.8,316
140945,None,MIXED,,
140962,None,MIXED,,
133561,Does not apply,MIXED,26.8,321.9
136746,None,GIRLS,NP,SUPP
139791,None,MIXED,,
101245,Does not apply,MIXED,27.9,327.7
101246,Does not apply,MIXED,26.9,326.8
141178,Does not apply,MIXED,27.1,312.2
134388,None,MIXED,NP,18.6
142134,None,MIXED,,
131102,Does not apply,MIXED,4.9,5.1
,,,26.8,315.3
139594,None,MIXED,,
136308,None,MIXED,28.9,366.3
131261,Unknown,MIXED,NP,293.8
140492,None,BOYS,NP,221.3
101388,None,GIRLS,NP,326.6
101365,Roman Catholic,MIXED,26.5,332.5
101393,None,MIXED,NP,SUPP
137388,Does not apply,BOYS,27.8,339.3
136418,Does not apply,MIXED,27.1,363.2
138685,Does not apply,GIRLS,27.3,312.9
136658,Does not apply,MIXED,28.2,335.2
101362,Roman Catholic,BOYS,28.7,362.1
101345,Does not apply,MIXED,26.4,310.8
137539,Jewish,MIXED,29.4,389.6
137645,None,MIXED,27.3,339.3
138051,None,GIRLS,33.4,456.9
135747,Jewish,MIXED,29.4,371.6
101369,None,MIXED,NP,284.8
134798,Does not apply,MIXED,25.2,305.8
101387,Jewish,BOYS,NP,337.5
137386,None,MIXED,29.1,342.5
101367,None,MIXED,NP,361.7
134764,None,MIXED,NP,312
101385,None,BOYS,NP,247.4
137131,Does not apply,GIRLS,28.8,356.4
136290,None,BOYS,33.2,448.4
139410,Greek Orthodox,MIXED,,
101364,Roman Catholic,MIXED,28.5,355.8
101374,Roman Catholic,GIRLS,NP,352.8
101360,Church of England,MIXED,26.3,306.7
101361,Roman Catholic,GIRLS,32.8,441.5
131830,None,MIXED,NP,266.8
131403,None,GIRLS,NP,337
137374,Does not apply,MIXED,26.2,280.4
137784,None,GIRLS,NP,SUPP
131288,None,MIXED,NP,247.7
137361,None,MIXED,24.3,280.9
135507,Church of England,MIXED,28.8,367.5
136263,None,MIXED,NP,SUPP
101397,Does not apply,MIXED,3,NE
101394,Does not apply,MIXED,9.8,5.9
,,,28.2,348.5
136334,None,BOYS,32.1,395.4
136369,None,MIXED,32.5,418.1
137138,None,MIXED,26.4,290
137965,Does not apply,GIRLS,27.9,339.7
133769,Does not apply,MIXED,25.8,257.5
137423,Does not apply,MIXED,32.3,408
138686,Does not apply,MIXED,26.2,285.7
136330,None,MIXED,26.7,280.7
135951,Does not apply,MIXED,27,304.2
135677,Does not apply,MIXED,28.3,342.9
137368,None,BOYS,27.9,325.1
137681,Roman Catholic,GIRLS,28.4,358.6
138650,Roman Catholic,BOYS,27.7,332.1
137769,Does not apply,GIRLS,32,414.4
136538,Church of England,MIXED,27.5,333
136720,None,MIXED,26.4,275.7
101487,Does not apply,MIXED,3.9,NE
131115,Does not apply,MIXED,21.7,78.3
101485,Does not apply,MIXED,12.6,21.6
,,,28.1,326.1
138610,None,MIXED,26.3,331.1
101576,None,MIXED,NP,391.4
135600,Does not apply,MIXED,27.6,349.8
141019,None,MIXED,26.1,252.7
131059,Unknown,BOYS,NP,401.6
134226,Does not apply,MIXED,25.6,302.4
136656,None,MIXED,28.1,334.5
137994,Roman Catholic,GIRLS,27.4,331
135973,Does not apply,MIXED,25,269.1
101575,Unknown,GIRLS,NP,404.8
133724,Jewish,MIXED,29.7,380.9
137685,None,MIXED,27.2,330.2
133448,None,GIRLS,NP,343.8
140862,None,MIXED,,
101564,Roman Catholic,BOYS,26.3,282
139319,None,MIXED,27.6,341
138609,None,MIXED,27.1,326.2
101563,Roman Catholic,MIXED,28.6,363.5
101578,Hindu,MIXED,NP,379.9
138457,None,MIXED,28.5,370.3
135373,None,MIXED,NP,82.7
101583,Does not apply,MIXED,4.6,1.5
140796,Does not apply,MIXED,10,6.2
,,,27.1,323.6
101680,None,MIXED,NP,310.8
101683,Roman Catholic,MIXED,NP,353.9
136466,Church of England,MIXED,28.1,323.1
130430,Does not apply,MIXED,26.9,101.4
101692,None,GIRLS,NP,409.1
136709,None,GIRLS,28.6,355.4
136545,None,MIXED,27.7,315
136467,None,GIRLS,28.4,325.8
136464,None,MIXED,27.7,304
136355,None,MIXED,28.8,362.2
101695,None,BOYS,NP,353.4
101693,Free Church,BOYS,NP,186.9
101685,Methodist,MIXED,NP,226.4
137121,None,MIXED,26.4,331.2
137379,None,GIRLS,26.8,340.2
136644,None,MIXED,28.5,364.9
136281,None,BOYS,26.7,300.8
138384,None,MIXED,NP,SUPP
136586,None,BOYS,28.9,354.6
137006,None,GIRLS,29,369.2
136551,None,GIRLS,33.1,439.2
138114,None,MIXED,25.9,276.5
136517,None,BOYS,28.6,332
136540,None,MIXED,27.4,313.4
101676,Church of England,BOYS,33.3,445.8
134175,None,MIXED,NP,SUPP
136265,None,MIXED,NP,SUPP
131395,None,MIXED,NP,45.3
132008,Does not apply,BOYS,20.9,52.3
101700,Does not apply,MIXED,12.7,62.4
101697,Does not apply,MIXED,10.6,36.6
135232,Does not apply,MIXED,5.3,NE
136228,None,GIRLS,NP,SUPP
135670,None,MIXED,NP,22
,,,28.1,335.7
134585,None,MIXED,NP,386
141210,None,MIXED,26.4,304.4
101811,Church of England,MIXED,28.8,349.8
101849,None,MIXED,29.3,336
133528,None,MIXED,NP,121.7
101823,Roman Catholic,GIRLS,30.1,388.7
101845,None,GIRLS,NP,296.2
137567,None,MIXED,NP,SUPP
101819,None,MIXED,27.5,314
142040,None,MIXED,,
137671,None,MIXED,NP,41.4
135955,Does not apply,MIXED,26.6,314.6
135249,Does not apply,MIXED,27.6,322.3
139906,Does not apply,MIXED,25.4,308.1
135311,Does not apply,MIXED,29.7,367.1
140952,None,MIXED,,
139074,Does not apply,MIXED,26.1,285
137754,None,GIRLS,28.2,341.3
140209,None,MIXED,,
135654,Christian,MIXED,27.2,323.2
135968,Christian,MIXED,25.6,282.5
101846,None,GIRLS,NP,375.4
136203,Does not apply,MIXED,24.9,300.4
138178,None,MIXED,28.5,348.1
101835,None,MIXED,NP,349.9
101813,Church of England,MIXED,27.9,315.5
138221,Roman Catholic,BOYS,28.4,331.7
101814,Roman Catholic,MIXED,24.8,284
